"Slug","URL","Title","MetaDescription","WordCount","Cluster","SearchConsoleClicks","SearchConsoleImpressions","SearchConsoleCTR","SearchConsolePosition","Leads","Backlinks","Decision","Notes"
"2027-is-kiyafeti-trendleri-surdurulebilirlik-dayanim-gorunum","https://kardeslertekstil.com.tr/bilgi-merkezi/2027-is-kiyafeti-trendleri-surdurulebilirlik-dayanim-gorunum/","2027 İş Kıyafeti Trendleri: Sürdürülebilirlik, Dayanım ve","2027 döneminde iş kıyafetinde öne çıkan sürdürülebilir malzeme, uzun ömür tasarımı, dijital izleme ve kurumsal görünüm trendlerini değerlendirin. Satın...","469","ÃœrÃ¼n ve kullanÄ±m rehberi","","","","","","","Search Console verisi bekleniyor",""
"afet-toplanma-alani-personeli-kiyafetleri","https://kardeslertekstil.com.tr/bilgi-merkezi/afet-toplanma-alani-personeli-kiyafetleri/","Afet Toplanma Alanı Personeli Kıyafetleri","Afet Toplanma Alanı Personeli Kıyafetleri için kalabalık yönetimi, gece görünürlüğü ve değişken hava koşullarına uygun ürün, kumaş, katman ve bakım...","416","ÃœrÃ¼n ve kullanÄ±m rehberi","","","","","","","Search Console verisi bekleniyor",""
"akaryakit-istasyonu-personel-kiyafetleri","https://kardeslertekstil.com.tr/bilgi-merkezi/akaryakit-istasyonu-personel-kiyafetleri/","Akaryakıt İstasyonu Personeli İş Kıyafeti Rehberi","Akaryakıt istasyonunda görünürlük, hava koşulları, hidrokarbon teması, antistatik gereksinim ve müşteri alanı görünümünü değerlendirin.","375","ÃœrÃ¼n ve kullanÄ±m rehberi","","","","","","","Search Console verisi bekleniyor",""
"aksesuar-onay-karti-nasil-hazirlanir","https://kardeslertekstil.com.tr/bilgi-merkezi/aksesuar-onay-karti-nasil-hazirlanir/","Aksesuar Onay Kartı Nasıl Hazırlanır? | Kardeşler Tekstil","Fermuar, düğme, çıtçıt, iplik, lastik, cırt bant, reflektif ve etiketleri kod, renk, ölçü, tedarikçi, test ve kullanım yeriyle onaylayın.","607","ÃœrÃ¼n ve kullanÄ±m rehberi","","","","","","","Search Console verisi bekleniyor",""
"alet-yelegi-secim-rehberi","https://kardeslertekstil.com.tr/bilgi-merkezi/alet-yelegi-secim-rehberi/","Alet Yeleği Seçim Rehberi: Cep Düzeni ve Yük Dağılımı","Alet yeleğini cep kapasitesi, yük dağılımı, kumaş dayanımı, omuz yapısı, kapama ve iş güvenliği açısından planlayın.","983","ÃœrÃ¼n ve kullanÄ±m rehberi","","","","","","","Search Console verisi bekleniyor",""
"alt-isveren-taseron-is-kiyafeti-standardi","https://kardeslertekstil.com.tr/bilgi-merkezi/alt-isveren-taseron-is-kiyafeti-standardi/","Alt İşveren ve Taşeron İş Kıyafeti Standardı Nasıl Kurulur?","Alt işveren ekiplerinde asgari ürün, görünür kimlik, koruma standardı, belge, eğitim, bakım, denetim ve sorumlulukları sözleşmede tanımlayın.","1071","ÃœrÃ¼n ve kullanÄ±m rehberi","","","","","","","Search Console verisi bekleniyor",""
"aluminyum-profil-uretim-is-kiyafetleri","https://kardeslertekstil.com.tr/bilgi-merkezi/aluminyum-profil-uretim-is-kiyafetleri/","Alüminyum Profil Üretim Personeli İş Kıyafetleri","Alüminyum Profil Üretim Personeli İş Kıyafetleri için keskin çapak, sıcak profil ve yağlı yüzey koşullarına uygun ürün, kumaş, katman ve bakım planını...","420","ÃœrÃ¼n ve kullanÄ±m rehberi","","","","","","","Search Console verisi bekleniyor",""
"ambalaj-uretim-personeli-is-kiyafetleri","https://kardeslertekstil.com.tr/bilgi-merkezi/ambalaj-uretim-personeli-is-kiyafetleri/","Ambalaj Üretim Personeli İş Kıyafetleri | Kardeşler Tekstil","Ambalaj Üretim Personeli İş Kıyafetleri için kesici ekipman, mürekkep, statik yük ve hızlı hat koşullarına uygun ürün, kumaş, katman ve bakım planını...","421","ÃœrÃ¼n ve kullanÄ±m rehberi","","","","","","","Search Console verisi bekleniyor",""
"amir-gunluk-is-kiyafeti-saha-denetimi","https://kardeslertekstil.com.tr/bilgi-merkezi/amir-gunluk-is-kiyafeti-saha-denetimi/","Amir İçin Günlük İş Kıyafeti Saha Denetimi Rehberi","Saha amirinin uygun ürün, doğru kullanım, kapama, görünürlük, hasar, kirlenme ve çalışan geri bildirimini yapıcı biçimde kontrol etmesini planlayın.","1064","ÃœrÃ¼n ve kullanÄ±m rehberi","","","","","","","Search Console verisi bekleniyor",""
"antibakteriyel-tekstil-apresi","https://kardeslertekstil.com.tr/bilgi-merkezi/antibakteriyel-tekstil-apresi/","Antibakteriyel Tekstil Apresi Nedir? İddia ve Test Rehberi","Antibakteriyel tekstil apresinde etki mekanizması, test yöntemi, yıkama dayanımı, cilt teması, mevzuat ve pazarlama iddiası kontrolünü öğrenin.","1050","ÃœrÃ¼n ve kullanÄ±m rehberi","","","","","","","Search Console verisi bekleniyor",""
